A-211,Algo (AI-J),,,ML (AI-J),,,Knowl Rep (AI-J),,,,,,,,,,,,,,,
A-301,OS (AI-K),,,Knowl Rep (AI-K),,,Algo (AI-K),,,ML (AI-K),,,"DB (CS-C,21)",,,Pak Studies (A),,,,,,
A-302,Algo (CY-T),,,Data St (CS-G),,,Algo (SE-P),,,OS (SE-P),,,,,,,,,,,,
A-303,TBW (DS-N),,,TBW (DS-M),,,OS (SE-Q),,,Algo (SE-Q),,,,,,,,,,,,
A-305,COAL (CS-C),,,LA (CS-C),,,LA (CS-B),,,,,,"OOP (CY-A, 22)",,,,,,,,,
A-310,Ethical Hacking,,,"OOP (AI/DS-A, 22)",,,"OOP (AI/DS-B, 22)",,,,,,,,,,,,,,,
A-311,"OOP (AI/DS-C, 22)",,,Deep Learning (A),,,DIP,,,,,,,,,,,,,,,
A-314,Data St (SE-G) ReSch,,,Cloud Comp (SE-B),,,AI (CS-B),,,,,,,,,,,,,,,
A-315,Islamic (CS-F) ReSch,,,FSM,,,Islamic (CS-E) ReSch,,,,,,,,,,,,,,,
A-316,,,,FSM,,,FSM,,,FSM,,,FSM,,,FSM,,,,,,
C-110,SMD (A),,,Comp Net (CS-C/D),,,SMD (B),,,Reserved,,,,,,,,,,,,
Seminar A,,,,,,,,,,,,,,,,,,,,,,
